variant,p50_ms,p95_ms,p99_ms,average_ms,throughput_rps,total_requests,error_percent,cache_hit_percent
before,98.1333975,5365.6137472499995,18189.0746505,1368.8175997696947,129.13359819177379,86326,0,n/a
after,32.153144,113.32650735000004,505.97472939000346,53.80068644561796,211.46110506372273,141094,0,97.10939503604708
